Date,Open,High,Low,Close,Adj Close,Volume
2022-02-11,100.199997,100.699997,99.720001,100.349998,100.349998,759361
2022-02-14,98.680000,98.720001,96.860001,98.059998,98.059998,1230736
2022-02-15,97.379997,99.139999,97.239998,98.959999,98.959999,979661
2022-02-16,99.320000,100.099998,98.900002,99.440002,99.440002,520569
2022-02-17,99.760002,99.760002,97.620003,98.120003,98.120003,954839
2022-02-18,98.320000,98.980003,97.400002,97.800003,97.800003,800025
2022-02-21,98.300003,98.760002,96.139999,96.800003,96.800003,1393494
2022-02-22,94.639999,96.459999,93.360001,96.080002,96.080002,1161913
2022-02-23,96.500000,97.099998,95.400002,95.580002,95.580002,909455
2022-02-24,91.599998,93.919998,91.160004,92.040001,92.040001,1825564
2022-02-25,87.500000,88.760002,84.339996,88.180000,88.180000,4884990
2022-02-28,87.000000,88.080002,86.040001,87.820000,87.820000,2599164
2022-03-01,87.440002,87.980003,81.660004,81.660004,81.660004,3520980
2022-03-02,80.320000,81.519997,78.360001,81.120003,81.120003,3212522
2022-03-03,81.599998,82.220001,80.440002,80.440002,80.440002,1812939
2022-03-04,79.900002,79.900002,76.339996,77.059998,77.059998,2608093
2022-03-07,75.059998,76.820000,72.440002,75.000000,75.000000,3166767
2022-03-08,74.639999,78.919998,74.519997,77.360001,77.360001,2427055
2022-03-09,79.860001,81.660004,79.139999,81.059998,81.059998,2003778
2022-03-10,82.500000,82.559998,79.980003,81.019997,81.019997,1747855
2022-03-11,81.519997,84.339996,81.220001,82.300003,82.300003,1811980
2022-03-14,83.699997,84.940002,83.339996,84.599998,84.599998,1601894
2022-03-15,84.480003,84.919998,83.080002,84.639999,84.639999,1258671
2022-03-16,85.860001,87.160004,85.279999,85.599998,85.599998,1654824
2022-03-17,86.000000,86.339996,84.779999,85.680000,85.680000,1209368
2022-03-18,85.660004,86.180000,85.099998,85.839996,85.839996,2711551
2022-03-21,86.099998,87.080002,85.620003,86.440002,86.440002,2093301
2022-03-22,86.660004,87.980003,86.500000,87.019997,87.019997,1821107
2022-03-23,87.279999,87.360001,86.360001,86.360001,86.360001,946581
2022-03-24,86.500000,86.639999,85.440002,86.379997,86.379997,1067290
2022-03-25,86.480003,87.019997,85.180000,87.019997,87.019997,940177
